                 SCN	              |               title
--------------------------------------------------------------------------------
951067061				Français_interactif
951031923				Discover_psychology_20
951032198				Canadian_history
956400307				A_brief_introduction_to_engineering_computation_with_MATLAB
959336725				eMarketing
959336726				Essential_skills_companion_kit_for_culinary_arts_trades_training
911062653				Introduction_to_sociology
959336727				Introduction_to_sociology
961216390				Plumber_apprenticeship_program
957556469				Fundamentals_of_business
940959238				Steps_to_success
957558935				Chemistry
957556634				American_government
201802141659510112632			University_success
953999340				Teaching_autoethnography
959619164				Writing_for_strategic_communication_industries
953039477				Business_communication_for_success
961476196				Astronomy
961352944				University_physics
961353258				University_physics
961353503				University_physics
908396889				Nature_of_geographic_information
962280734				Microbiology
973423979				Knowing_home
975287534				Greek_and_Latin_roots_for_science_and_the_social_sciences
975287685				Greek_and_Latin_roots_for_science_and_the_social_sciences
973423980				Prealgebra
201802141659510113196			Principles_of_macroeconomics
201802141659510113211			Macroeconomics
201802141659510113223			Microeconomics
201802141659510113235			Principles_of_microeconomics
201802141659510113248			Introduction_to_financial_accounting
973884682				Calculus
951750571				A_first_course_in_linear_algebra
953994213				Principles_of_marketing
982127523				Supporting_individuals_with_intellectual_disabilities__mental_illness
1001282357				In_the_workplace
1001268505				Microbiology
1000618203				Introduction_to_logic_and_critical_thinking
1001280624				Perspectives
1001281429				Professional_communications_OER
1001254247				Mechanics
1000616801				Global_womens_issues
970665265				A_concise_introduction_to_logic
1001282288				In_the_community
1000615977				Strategies_for_academic_success
1000616140				Intermediate_financial_accounting
1000616198				Intermediate_financial_accounting
993255777				Exploring_movie_construction_and_production
968326927				The_history_of_our_tribe
1000616343				OER_toolkit_for_trades_instructors
1001572494				BC_open_textbook_print_on_demand_guide
1001572573				BC_open_textbook_adoption_guide
1001572651				BCcampus_OER_student_toolkit
1001572834				Faculty_OER_toolkit
1001572912				OER_Research_toolkit
1001573137				BC_open_textbook_accessibility_toolkit
1001573194				CB_trousse_d’outils_d’accessibilité_pour_les
1001573312				BC_open_textbook_authoring_guide
1001573300				BC_open_textbook_pressbooks_guide
1001573315				BC_open_textbook_adaptation_guide
1001573436				The_word_on_college_reading_and_writing
1001573486				Forest_measurements
1001573653				Environmental_biology
1001573547				Beginning_Excel
1001573772				Open_genetics_lectures_Fall_2017
201802141659510237740			Un_barbare_en_Chine_nouvelle
201802141659510237766			Indian_Arm
201802141659510237779			Readopolis
201802141659510237792			The_marrow_thieves
201802141659510237804			Les_yeux_tristes_de_mon_camion
201802141659510237815			Le_poids_de_la_neige
201802141659510237828			When_we_were_alone
